id,name,repo,downloads,last_commit,commit_months,archived,licence,open_issues,stars
copy-as-html,Copy as HTML,jenningsb2/copy-as-html,52626,2024-04-23,28.3,false,NONE,16,50
ytranscript,YTranscript,lstrzepek/obsidian-yt-transcript,52625,2026-05-13,3.6,false,MIT,24,188
obisidian-note-linker,Note Linker,alexw00/obsidian-note-linker,52255,2025-12-07,8.8,false,MIT,46,284
obsidian-douban-plugin,Douban,wanxp/obsidian-douban,52160,2026-08-17,0.5,false,GPL-3.0,28,271
float-search,Floating Search,quorafind/Obsidian-Float-Search,52027,2026-03-23,5.3,false,GPL-3.0,17,184
bmo-chatbot,BMO Chatbot,longy2k/obsidian-bmo-chatbot,51724,2024-09-12,23.6,false,MIT,54,532
obsidian-markdown-export-plugin,markdown export,bingryan/obsidian-markdown-export-plugin,51454,2026-08-30,0.1,false,NONE,22,124
obsidian-version-history-diff,Version History Diff,kometenstaub/obsidian-version-history-diff,51144,2026-07-14,1.6,false,MIT,20,164
periodic-para,LifeOS,quanru/obsidian-lifeos,51086,2026-06-01,3.0,false,MIT,1,581
fantasy-content-generator,Fantasy Content Generator,gregory-jagermeister/Fantasy-Content-Generator,50963,2025-01-12,19.6,false,GPL-3.0,4,53
file-order,File Order,lukasbach/obsidian-file-order,50204,2026-02-20,6.3,false,MIT,14,96
gridexplorer,GridExplorer,devon22/obsidian-gridexplorer,49992,2026-08-12,0.7,false,MIT,8,85
github-sync,GitHub Sync,kevinmkchin/Obsidian-GitHub-Sync,49911,2026-04-28,4.1,false,MIT,19,382
drawio,draw.io,somesanity/draw-io-obsidian,49502,2026-06-25,2.2,false,GPL-3.0,10,152
new-tab-default-page,Default New Tab Page,chrisgrieser/new-tab-default-page,49386,2026-08-03,1.0,false,MIT,10,63
text-snippets-obsidian,Text Snippets,arianakhit/text-snippets-obsidian,49215,2023-05-04,39.9,false,NONE,40,211
telegram-sync,Telegram Sync,soberhacker/obsidian-telegram-sync,49170,2024-10-30,22.0,false,AGPL-3.0,41,676
OA-file-hider,File Hider,eldritch-oliver/file-hider,48971,2024-08-19,24.4,false,MIT,19,80
obsidian-math-plus,Math+,ocapraro/obsidian-math-plus,48726,2024-01-27,31.1,false,MIT,9,101
better-search-views,Better Search Views,ivan-lednev/better-search-views,48649,2024-12-01,21.0,false,MIT,48,361
typing-assistant,Typing Assistant,jambo2018/notion-assistant-plugin,48268,2026-01-18,7.4,false,MIT,6,63
open-vscode,Open vault in VS Code,nomarcub/obsidian-open-vscode,48201,2026-08-02,1.0,false,MIT,3,129
obsidian-vault-statistics-plugin,Vault Statistics,bkyle/obsidian-vault-statistics-plugin,47927,2022-11-26,45.2,false,NONE,12,94
tars,Tars,tarslab/obsidian-tars,47806,2026-08-28,0.1,false,MIT,2,324
hi-note,HiNote,catmuse/HiNote,47343,2026-08-07,0.8,false,MIT,40,256
rpg-manager,RPG Manager,carlonicora/obsidian-rpg-manager,47196,2025-12-16,8.5,false,MIT,36,244
symbols-prettifier,Symbols Prettifier,florianwoelki/obsidian-symbols-prettifier,47151,2026-07-13,1.6,false,MIT,4,56
obsidian-timestamper,TimeStamper,gru80/obsidian-timestamper,46578,2023-07-04,37.9,false,MIT,13,82
obsidian-tts,Text to Speech,joethei/obsidian-tts,46509,2025-12-18,8.4,false,GPL-3.0,21,123
syncthing-integration,Syncthing Integration,lbf38/obsidian-syncthing-integration,46397,2026-08-31,0.0,false,MIT,37,355
heatmap-tracker,Heatmap Tracker,mokkiebear/heatmap-tracker,46263,2026-09-01,0.0,false,Apache-2.0,23,230
obsidian-fullscreen-plugin,Fullscreen mode plugin,razumihin/obsidian-fullscreen-plugin,45990,2022-01-08,55.7,false,MIT,10,42
languagetool,LanguageTool,wrenger/obsidian-languagetool,45780,2026-08-23,0.3,false,AGPL-3.0,14,84
obsidian-diagrams-net,Diagrams.net,jensmtg/obsidian-diagrams-net,45275,2024-08-12,24.6,false,MIT,23,121
persistent-graph,Persistent Graph,sanqui/obsidian-persistent-graph,45236,2026-05-24,3.3,false,MIT,8,146
github-copilot,GitHub Copilot,pierrad/obsidian-github-copilot,45038,2026-05-03,4.0,false,Apache-2.0,24,496
markwhen,Markwhen,mark-when/obsidian-plugin,44731,2026-05-15,3.6,false,MIT,59,438
