id,name,repo,downloads,last_commit,commit_months,archived,licence,open_issues,stars
colored-text,Colored Text,erincayaz/obsidian-colored-text,276809,2026-08-25,0.2,false,MIT,7,106
obsidian-custom-frames,Custom Frames,ellpeck/ObsidianCustomFrames,264695,2026-08-09,0.8,false,MIT,53,843
agent-client,Agent Client,rait-09/obsidian-agent-client,254426,2026-08-30,0.1,false,Apache-2.0,61,2382
obsidian-tagfolder,TagFolder,vrtmrz/obsidian-tagfolder,251943,2026-08-14,0.6,false,MIT,72,350
readwise-official,Readwise Official,readwiseio/obsidian-readwise,242159,2026-05-28,3.2,false,GPL-3.0,60,354
cmenu-plugin,cMenu,chetachiezikeuzor/cMenu-Plugin,237386,2022-09-05,47.9,false,MPL-2.0,44,479
obsidian-enhancing-mindmap,Enhancing Mindmap,markmindckm/obsidian-enhancing-mindmap,236020,2026-01-08,7.8,false,MIT,95,711
obsidian-citation-plugin,Citations,hans/obsidian-citation-plugin,234219,2024-06-13,26.6,false,MIT,173,1337
code-styler,Code Styler,mayurankv/Obsidian-Code-Styler,232107,2025-02-16,18.5,false,NOASSERTION,122,602
obsidian-book-search-plugin,Book Search,anpigon/obsidian-book-search-plugin,229092,2024-10-16,22.5,false,MIT,80,712
iconic,Iconic,gfxholo/iconic,227691,2026-07-23,1.3,false,MIT-0,90,845
obsidian-text-format,Text Format,benature/obsidian-text-format,226678,2024-07-21,25.4,false,MIT,29,268
obsidian-dictionary-plugin,Dictionary,phibr0/obsidian-dictionary,226031,2024-02-16,30.5,false,AGPL-3.0,35,439
find-unlinked-files,Find orphaned files and broken links,vinzent03/find-unlinked-files,223489,2026-07-28,1.1,false,MIT,9,370
obsidian-plugin-toc,Table of Contents,hipstersmoothie/obsidian-plugin-toc,223205,2024-07-07,25.8,false,NONE,36,339
obsidian-file-color,File Color,ecustic/obsidian-file-color,219879,2026-06-19,2.4,false,MIT,39,201
multi-column-markdown,Multi-Column Markdown,ckrobinson/multi-column-markdown,216691,2024-05-19,27.4,false,GPL-3.0,44,431
colored-tags,Colored Tags,pfrankov/obsidian-colored-tags,215273,2026-08-29,0.1,false,MIT,3,162
drawio-obsidian,Diagrams,zapthedingbat/drawio-obsidian,212866,2026-02-22,6.3,false,MIT,73,660
supercharged-links-obsidian,Supercharged Links,mdelobelle/obsidian_supercharged_links,209328,2025-12-22,8.3,false,MIT,131,695
quick-latex,Quick Latex,joeyuping/quick_latex_obsidian,208039,2024-09-10,23.7,false,MIT,40,343
callout-manager,Callout Manager,eth-p/obsidian-callout-manager,204224,2026-08-04,0.9,false,MIT,43,282
custom-sort,Custom File Explorer sorting,sebastianmc/obsidian-custom-sort,203028,2026-03-09,5.8,false,GPL-3.0,20,478
obsidian-excel-to-markdown-table,Excel to Markdown Table,ganesshkumar/obsidian-excel-to-markdown-table,200371,2026-08-08,0.8,false,MIT,13,255
google-calendar,Google Calendar,yukigasai/obsidian-google-calendar,197312,2026-01-22,7.3,false,GPL-3.0,79,492
sheet-plus,Sheet Plus,ljcoder2015/obsidian-sheet-plus,197097,2026-09-01,0.0,false,Apache-2.0,35,440
novel-word-count,Novel word count,isaaclyman/novel-word-count-obsidian,193548,2026-08-03,1.0,false,MIT,1,144
system3-relay,Relay,no-instructions/Relay,192924,2026-09-01,0.0,false,MIT,22,521
obsidian-another-quick-switcher,Another Quick Switcher,tadashi-aikawa/obsidian-another-quick-switcher,192296,2026-08-26,0.2,false,MIT,44,403
obsidian-weread-plugin,Weread,zhaohongxuan/obsidian-weread-plugin,192214,2026-07-18,1.5,false,MIT,90,2194
calendarium,Calendarium,javalent/calendarium,188699,2025-09-27,11.1,false,MIT,73,152
ink,Ink,daledesilva/obsidian_ink,188599,2026-09-01,0.0,false,NOASSERTION,84,1370
meld-encrypt,Meld Encrypt,meld-cp/obsidian-encrypt,183152,2026-07-01,2.0,false,MIT,41,970
longform,Longform,kevboh/longform,181620,2025-12-02,9.0,false,NOASSERTION,124,951
remember-cursor-position,Remember cursor position,dy-sh/obsidian-remember-cursor-position,181049,2026-07-15,1.6,false,MIT,61,299
nutstore-sync,Nutstore Sync,nutstore/obsidian-nutstore-sync,180318,2026-08-21,0.4,false,AGPL-3.0,42,597
todoist-sync-plugin,Todoist Sync,jamiebrynes7/obsidian-todoist-plugin,179695,2026-03-15,5.6,false,MIT,49,1193
card-board,CardBoard,roovo/obsidian-card-board,175648,2024-02-25,30.2,false,MIT,121,636
heatmap-calendar,Heatmap Calendar,richardsl/heatmap-calendar-obsidian,174105,2025-02-10,18.7,false,Apache-2.0,50,957
smart-composer,Smart Composer,glowingjade/obsidian-smart-composer,171003,2026-02-16,6.5,false,MIT,112,2322
obsidian-smart-typography,Smart Typography,mgmeyers/obsidian-smart-typography,167197,2024-03-30,29.1,false,GPL-3.0,41,341
google-drive-sync,Google Drive Sync,richardx366/Obsidian-Google-Drive,167098,2026-08-26,0.2,false,0BSD,6,352
obsidian-plugin-update-tracker,Plugin Update Tracker,swar8080/obsidian-plugin-update-tracker,166167,2025-05-30,15.1,false,MIT,46,172
mousewheel-image-zoom,Mousewheel Image zoom,nicojeske/mousewheel-image-zoom,165867,2025-05-29,15.1,false,MIT,8,144
obsidian-map-view,Map View,esm7/obsidian-map-view,165481,2026-08-22,0.3,false,MIT,137,872
obsidian-kindle-plugin,Kindle Highlights,hadynz/obsidian-kindle-plugin,165333,2026-02-18,6.4,false,MIT,47,1277
quick-explorer,Quick Explorer,pjeby/quick-explorer,162516,2026-08-15,0.6,false,ISC,23,338
pane-relief,Pane Relief,pjeby/pane-relief,162147,2025-03-08,17.8,false,NONE,11,307
obsidian-task-progress-bar,Task Genius,taskgenius/taskgenius-plugin,161559,2026-06-28,2.1,false,NOASSERTION,211,576
pexels-banner,Pixel Banner,jparkerweb/pixel-banner,159412,2026-04-17,4.5,false,Apache-2.0,31,211
execute-code,Execute Code,twibiral/obsidian-execute-code,159337,2025-08-02,13.0,false,MIT,171,1532
initiative-tracker,Initiative Tracker,obsidian-ttrpg-community/initiative-tracker,159014,2026-04-12,4.7,false,GPL-3.0,76,222
obsidian-local-images-plus,Local Images Plus,sergei-korneev/obsidian-local-images-plus,158656,2026-03-18,5.5,false,MIT,53,562
obsidian-paste-image-rename,Paste image rename,reorx/obsidian-paste-image-rename,157873,2025-12-22,8.3,false,MIT,80,420
obsidian-plantuml,PlantUML,joethei/obsidian-plantuml,155980,2026-06-12,2.7,false,MIT,28,529
automatic-table-of-contents,Automatic Table Of Contents,johansatge/obsidian-automatic-table-of-contents,155758,2026-02-07,6.8,false,MIT,23,282
canvas-mindmap,Canvas Mindmap,quorafind/Obsidian-Canvas-MindMap,153961,2024-09-04,23.9,false,NONE,24,374
obsidian-vimrc-support,Vimrc Support,esm7/obsidian-vimrc-support,152575,2026-03-26,5.2,false,MIT,99,1459
oz-clear-unused-images,Clear Unused Images,ozntel/oz-clear-unused-images-obsidian,151971,2024-08-20,24.4,false,NONE,37,282
webpage-html-export,Webpage HTML Export,kosmosisdire/obsidian-webpage-export,151291,2026-03-19,5.5,false,MIT,232,1353
obsidian-rollover-daily-todos,Rollover Daily Todos,lumoe/obsidian-rollover-daily-todos,148156,2026-05-12,3.7,false,MIT,61,369
metaedit,MetaEdit,chhoumann/MetaEdit,145271,2026-08-31,0.0,false,GPL-3.0,0,502
floating-toc,floating toc,pkm-er/obsidian-floating-toc-plugin,143358,2026-01-24,7.2,false,MIT,58,287
consistent-attachments-and-links,Consistent Attachments and Links,dy-sh/obsidian-consistent-attachments-and-links,141293,2026-09-01,0.0,false,MIT,0,389
emoji-shortcodes,Emoji Shortcodes,phibr0/obsidian-emoji-shortcodes,140676,2023-01-05,43.9,false,MIT,27,229
obsidian-footnotes,Footnote Shortcut,michabrugger/obsidian-footnotes,139614,2026-08-11,0.7,false,MIT,2,172
folder-note-plugin,Folder Note,xpgo/obsidian-folder-note-plugin,139609,2024-07-20,25.4,false,NONE,100,482
obsidian-list-callouts,List Callouts,mgmeyers/obsidian-list-callouts,138261,2024-09-08,23.8,false,GPL-3.0,65,494
obsidian42-strange-new-worlds,Strange New Worlds,tfthacker/obsidian42-strange-new-worlds,135980,2026-08-12,0.7,false,MIT,33,580
chatgpt-md,ChatGPT MD,bramses/chatgpt-md,135420,2026-08-31,0.0,false,MIT,29,1442
obsidian-image-auto-upload-plugin,Image auto upload,renmu123/obsidian-image-auto-upload-plugin,135261,2024-11-28,21.1,false,MIT,78,473
juggl,Juggl,hemile/juggl,135100,2025-02-27,18.1,false,GPL-3.0,64,821
obsidian-read-it-later,ReadItLater,dominikpieper/obsidian-ReadItLater,134778,2026-06-30,2.1,false,MIT,28,651
lazy-plugins,Lazy Loader,alangrainger/obsidian-lazy-plugins,134675,2026-05-31,3.1,false,MIT,8,450
rss-dashboard,RSS Dashboard,amatya-aditya/obsidian-rss-dashboard,134276,2026-08-31,0.0,false,MIT,11,662
obsidian-omnivore,Omnivore,omnivore-app/obsidian-omnivore,133123,2024-11-21,21.3,false,MIT,95,874
waypoint,Waypoint,idreesinc/Waypoint,130310,2025-12-29,8.1,false,MPL-2.0,87,862
obsidian-image-toolkit,Image Toolkit,obsidian-community/obsidian-image-toolkit,129802,2025-09-01,12.0,false,MIT,19,74
fast-note-sync,Fast Note Sync,haierkeys/obsidian-fast-note-sync,127347,2026-08-14,0.6,false,Apache-2.0,76,2921
journals,Journals,srg-kostyrko/obsidian-journal,124662,2026-09-01,0.0,false,MIT,29,386
obsidian-markdown-formatting-assistant-plugin,Markdown Formatting Assistant,reocin/obsidian-markdown-formatting-assistant-plugin,122182,2024-09-08,23.8,false,NONE,52,284
obsidian-mindmap-nextgen,Mindmap NextGen,james-tindal/obsidian-mindmap-nextgen,120800,2026-05-22,3.4,false,NONE,72,402
markdown-table-editor,Markdown Table Editor,ganesshkumar/obsidian-table-editor,120253,2024-06-20,26.4,false,MIT,24,250
auto-note-mover,Auto Note Mover,farux/obsidian-auto-note-mover,118276,2023-10-25,34.2,false,MIT,65,417
surfing,Surfing,pkm-er/Obsidian-Surfing,116700,2024-11-09,21.7,false,MIT,113,577
simple-canvasearch,Simple CanvaSearch,ddalexb/obsidian-simple-canvasearch,113913,2025-05-19,15.4,false,Apache-2.0,2,37
cm-typewriter-scroll-obsidian,Typewriter Scroll,deathau/cm-typewriter-scroll-obsidian,113141,2024-02-23,30.3,false,NONE,45,214
multi-properties,Multi Properties,technohiker/obsidian-multi-properties,112807,2026-08-30,0.1,false,MIT,13,296
obsidian-zoom,Zoom,vslinko/obsidian-zoom,111909,2023-05-04,39.9,false,MIT,17,276
obsidian-contextual-typography,Contextual Typography,mgmeyers/obsidian-contextual-typography,111861,2024-06-16,26.5,false,GPL-3.0,8,199
obsidian-extract-pdf-highlights,PDF Highlights,akaalias/obsidian-extract-pdf-highlights,111531,2022-06-05,50.9,false,NONE,21,241
harper,Harper,automattic/harper-obsidian-plugin,111525,2026-08-17,0.5,false,Apache-2.0,1,157
obsidian-relative-line-numbers,Relative Line Numbers,nadavspi/obsidian-relative-line-numbers,110879,2024-06-16,26.5,false,NONE,17,219
obsidian-reading-time,Reading Time,avr/obsidian-reading-time,109925,2024-09-10,23.7,false,MIT,6,77
share-note,Share Note,alangrainger/share-note,109870,2026-06-15,2.6,false,MIT,30,712
calendar-bases,Calendar Bases,edrickleong/obsidian-calendar-bases,109146,2026-04-06,4.9,false,MIT,25,181
obsidian-icons-plugin,Icons,visini/obsidian-icons-plugin,109124,2021-04-26,64.2,false,NONE,23,227
docxer,Docxer,developer-mike/obsidian-docxer,108087,2026-05-21,3.4,false,GPL-3.0,2,141
convert-url-to-iframe,Convert url to preview (iframe),fhachez/obsidian-convert-url-to-iframe,107177,2023-01-06,43.8,false,NONE,22,210
obsidian-link-embed,Link Embed,seraphli/obsidian-link-embed,105813,2025-12-18,8.4,false,MIT,10,252
typewriter-mode,Typewriter Mode,davisriedel/obsidian-typewriter-mode,102115,2026-08-28,0.1,false,MIT,23,263
obsidian-custom-attachment-location,Custom Attachment Location,mnaoumov/obsidian-custom-attachment-location,101255,2026-09-01,0.0,false,MIT,11,152
actions-uri,Actions URI,czottmann/obsidian-actions-uri,100870,2026-05-29,3.1,false,MIT,7,202
hotkeysplus-obsidian,Hotkeys++,argenos/hotkeysplus-obsidian,99123,2021-12-08,56.8,false,NONE,13,137
local-gpt,Local GPT,pfrankov/obsidian-local-gpt,97095,2026-05-02,4.0,false,MIT,0,676
yolo,YOLO,lapis0x0/obsidian-yolo,95931,2026-09-01,0.0,false,MIT,24,1336
obsidian-chartsview-plugin,Charts View,caronchen/obsidian-chartsview-plugin,94558,2025-12-08,8.8,false,MIT,15,302
number-headings-obsidian,Number Headings,onlyafly/number-headings-obsidian,93374,2024-06-15,26.5,false,MIT,42,155
obsidian-shellcommands,Shell commands,taitava/obsidian-shellcommands,92738,2025-01-01,20.0,false,GPL-3.0,18,523
file-explorer-plus,File Explorer++,kelszo/obsidian-file-explorer-plus,92260,2025-04-20,16.4,false,AGPL-3.0,30,105
obsidian-timeline,Timeline,george-debug/obsidian-timeline,92084,2022-07-26,49.2,false,MIT,29,410
tldraw,tldraw,tldraw/obsidian-plugin,91863,2026-08-18,0.5,false,Apache-2.0,70,446
obsidian-html-plugin,HTML Reader,nuthrash/obsidian-html-plugin,91523,2026-09-01,0.0,false,MIT,3,218
obsidian-columns,Columns,tnichols217/obsidian-columns,90762,2024-11-30,21.0,false,GPL-3.0,28,299
file-cleaner-redux,File Cleaner Redux,husjon/obsidian-file-cleaner-redux,89869,2026-08-13,0.6,false,MIT,15,104
flexplorer,Flexplorer,kh4f/flexplorer,88944,2026-07-15,1.6,false,MIT,14,206
hotkey-helper,Hotkey Helper,pjeby/hotkey-helper,88614,2026-07-05,1.9,false,NONE,5,139
digitalgarden,Digital Garden,oleeskild/obsidian-digital-garden,88394,2026-08-30,0.1,false,MIT,213,2484
local-backup,Local Backup,velviagris/obsidian-local-backup,87204,2026-07-22,1.3,false,MIT,26,180
zoottelkeeper-obsidian-plugin,Zoottelkeeper Plugin,akosbalasko/zoottelkeeper-obsidian-plugin,86990,2023-12-22,32.3,false,NONE,42,232
obsidian-pandoc-reference-list,Pandoc Reference List,obsidian-community/obsidian-pandoc-reference-list,86986,2026-03-06,5.9,false,GPL-3.0,92,273
cycle-through-panes,Tab Switcher,vinzent03/tab-switcher,86298,2026-08-17,0.5,false,GPL-3.0,4,178
obsidian-completr,Completr,tth05/obsidian-completr,85379,2024-06-03,26.9,false,MIT,42,395
excel,Excel,ljcoder2015/obsidian-excel,85309,2024-06-04,26.9,false,GPL-3.0,20,166
editor-width-slider,Editor Width Slider,mugishomp/obsidian-editor-width-slider,85135,2024-06-09,26.7,false,MIT,16,146
css-editor,CSS Editor,zachatoo/obsidian-css-editor,84160,2026-06-28,2.1,false,MIT,15,114
smart-random-note,Smart Random Note,erichalldev/obsidian-smart-random-note,83826,2023-03-28,41.2,false,NONE,22,129
fast-text-color,Fast Text Color,superschnizel/obsidian-fast-text-color,83568,2026-08-08,0.8,false,GPL-3.0,24,121
any-block,AnyBlock,any-block/any-block,82787,2026-08-28,0.1,false,AGPL-3.0,20,558
vertical-tabs,Vertical Tabs,oxdc/obsidian-vertical-tabs,81936,2026-07-20,1.4,false,MIT,4,611
workspaces-plus,Workspaces Plus,jsmorabito/obsidian-workspaces-plus,81254,2026-08-28,0.1,false,GPL-3.0,71,245
dragger,Dragger,ariestar/obsidian-dragger,79888,2026-08-25,0.2,false,MIT,23,276
attachment-management,Attachment Management,trganda/obsidian-attachment-management,79473,2026-05-26,3.2,false,MIT,88,312
copy-url-in-preview,Image Context Menus,nomarcub/obsidian-copy-url-in-preview,78726,2026-08-24,0.3,false,MIT,8,103
auto-card-link,Auto Card Link,nekoshita/obsidian-auto-card-link,78293,2024-03-29,29.1,false,MIT,43,321
obsidian-import-json,JSON-CSV Importer,farling42/obsidian-import-json,77659,2026-07-07,1.8,false,MIT,7,125
update-time-on-edit,Update time on edit,beaussan/update-time-on-edit-obsidian,76496,2024-01-11,31.7,false,MIT,42,218
home-tab,Home tab,olrenso/obsidian-home-tab,76452,2024-10-20,22.4,false,MIT,50,371
links,Links,mii-key/obsidian-links,76163,2026-03-12,5.7,false,MIT,21,138
obsidian-clipper,Clipper,jgchristopher/obsidian-clipper,74863,2025-07-13,13.6,false,MIT,14,300
obsidian-view-mode-by-frontmatter,Force note view mode,bwydoogh/obsidian-force-view-mode-of-note,74861,2023-12-07,32.8,false,NONE,10,194
claude-sidebar,Claude Sidebar,derek-larson14/obsidian-claude-sidebar,74163,2026-09-01,0.0,false,MIT,1,445
translate,Translate,fevol/obsidian-translate,73814,2024-07-02,26.0,false,MIT,38,154
tasks-calendar-wrapper,Tasks Calendar Wrapper,leonezz/obsidian-tasks-calendar-wrapper,73612,2026-06-13,2.6,false,MIT,68,257
gemini-scribe,Gemini Scribe,allenhutchison/obsidian-gemini,73521,2026-09-01,0.0,false,MIT,37,520
obsidian-focus-mode,Focus Mode,ryanpcmcquen/obsidian-focus-mode,72055,2026-08-23,0.3,false,MPL-2.0,1,80
dynamic-views,Dynamic Views,churnish/dynamic-views,72024,2026-08-31,0.0,false,GPL-3.0,172,221
table-extended,Table Extended,aidenlx/table-extended,72020,2022-01-16,55.5,false,NONE,32,219
flashcards-obsidian,Flashcards,reuseman/flashcards-obsidian,71815,2023-10-08,34.8,false,MIT,112,1082
3d-graph,3D Graph,alexw00/obsidian-3d-graph,71426,2023-10-24,34.3,false,MIT,28,387
snipd-official,Snipd Official,snipd-app/snipd-obsidian,71015,2026-05-14,3.6,false,MIT,15,52
zotlit,ZotLit,aidenlx/zotlit,70850,2026-08-31,0.0,false,AGPL-3.0,25,1006
obsidian-copy-block-link,Copy Block Link,mgmeyers/obsidian-copy-block-link,70567,2024-06-07,26.8,false,GPL-3.0,26,236
charted-roots,Charted Roots,banisterious/obsidian-charted-roots,70350,2026-08-14,0.6,false,MIT,92,164
obsidian-media-db-plugin,Media DB,mprojectscode/obsidian-media-db-plugin,69851,2026-08-25,0.2,false,GPL-3.0,49,486
cm-chs-patch,Simplified Chinese Word Splitting,aidenlx/cm-chs-patch,69841,2026-06-20,2.4,false,MIT,1,251
custom-font-loader,Custom Font Loader,pourmand1376/obsidian-custom-font,69717,2026-08-30,0.1,false,MIT,5,121
customjs,CustomJS,saml-dev/obsidian-custom-js,69578,2025-10-04,10.9,false,MIT,1,386
better-pdf-plugin,Better PDF Plugin,mszturc/obsidian-better-pdf-plugin,69422,2023-09-10,35.7,false,NONE,21,218
obsidian-front-matter-title-plugin,Front Matter Title,snezhig/obsidian-front-matter-title,69299,2026-08-28,0.1,false,GPL-3.0,7,372
modalforms,Modal forms,danielo515/obsidian-modal-form,68958,2026-08-27,0.2,false,MIT,112,388
obsidian-filename-heading-sync,Filename Heading Sync,dvcrn/obsidian-filename-heading-sync,68950,2026-08-29,0.1,false,NONE,33,206
numerals,Numerals,gtg922r/obsidian-numerals,68943,2026-07-18,1.5,false,MIT,42,642
extended-graph,Extended Graph,elsatam/obsidian-extended-graph,68848,2026-02-13,6.6,false,NOASSERTION,47,231
task-board,Task Board,tu2-atmanand/Task-Board,68840,2026-06-15,2.6,false,GPL-3.0,222,453
chronology,Chronology,canna71/obsidian-chronology,68449,2026-05-03,4.0,false,NOASSERTION,23,147
remotely-secure,Remotely Sync,sboesen/remotely-sync,68297,2024-05-04,27.9,false,Apache-2.0,47,280
slash-commander,Slash Commander,alephpiece/obsidian-slash-commander,68214,2026-08-03,1.0,false,MIT,11,111
code-emitter,Code Emitter,mokeyish/obsidian-code-emitter,67223,2024-12-12,20.6,false,GPL-3.0,47,388
obsidian-sort-and-permute-lines,Sort and Permute lines,vinzent03/obsidian-sort-and-permute-lines,67008,2026-07-16,1.5,false,MIT,17,125
obsidian-underline,Underline,benature/obsidian-underline,66739,2024-03-18,29.5,false,MIT,7,81
obsidian-mkdocs-publisher,Enveloppe,enveloppe/obsidian-enveloppe,66575,2026-07-31,1.1,false,Apache-2.0,10,909
