id,name,pub,installs,rating,ratings,updated,months,repo_full,gh_pushed,commit_months,archived,licence,open_issues,stars
mqycn.huile8,会了吧 ,Miao Qiyuan,197425,4.83,6,2025-10-20,10.4,,,,,,,
ionutvmi.reg,REG,Mihai Vilcu,197141,5.0,5,2022-04-17,52.5,ionutvmi/reg-vscode,2026-02-28,6.1,False,MIT,9,27
jeff-hykin.better-shellscript-syntax,Better Shell Syntax,Jeff Hykin,197061,5.0,5,2024-07-15,25.6,jeff-hykin/better-shell-syntax,2026-01-21,7.3,False,MIT,54,64
jbockle.jbockle-format-files,Format Files,jbockle,197051,4.7,27,2021-07-25,61.2,jbockle/format-files,2023-01-07,43.8,False,NONE,16,52
lkrms.inifmt,"inifmt - formatter for .ini files, plain text and more",Luke Arms,196747,0,0,2024-02-10,30.7,lkrms/vscode-inifmt,2024-02-10,30.7,False,MIT,3,9
ParthR2031.colorful-comments,Colorful Comments,Parth Rastogi,196664,4.27,11,2022-07-22,49.3,Parth2031/Colorful-Comments,2022-07-22,49.3,False,MIT,15,15
shevaua.phpcs,phpcs,shevaua,196658,5.0,4,2020-01-20,79.4,shevaua/vscode-phpcs,2020-02-29,78.1,False,MIT,1,21
pomber.git-file-history,Git File History,Rodrigo Pombo,196474,4.29,31,2019-03-19,89.5,pomber/git-history,2024-10-10,22.7,False,MIT,94,13690
Dannark.AndroidLauncher,Android Emulator Launcher,Dannark,196449,2.22,9,2020-06-07,74.8,Dannark/Android-Launcher-for-VSCode,2022-12-30,44.1,False,NONE,12,6
ryanolsonx.solarized,Solarized,Ryan Olson,196186,4.7,10,2025-06-17,14.5,,,,,,,
tiansin.php-debug,PHP Debug,tiansin,196087,3.0,2,2019-08-22,84.3,,,,,,,
NikolaosGeorgiou.html-fmt-vscode,HTML formatter,Nikolaos Georgiou,196081,4.5,8,2022-05-22,51.3,ngeor/html-fmt,2025-11-15,9.5,False,MIT,5,4
vinicioslc.adb-interface-vscode,ADB Interface for VSCode,Vinicios Clarindo,196072,4.2,5,2023-07-31,37.1,vinicioslc/adb-interface-vscode,2024-02-20,30.4,False,MIT,2,46
bitlang.cobol,COBOL,BitLang,196010,5.0,6,2026-08-23,0.3,,,,,,,
ukoloff.win-ca,win-ca,ukoloff,195878,5.0,13,2023-11-14,33.6,ukoloff/win-ca,2025-07-08,13.8,False,MIT,12,120
Thavarajan.ionic2,ionic 2 Commands with Snippets,Thavarajan,195684,3.44,9,2017-12-31,104.0,,,,,,,
danielehrhardt.ionic3-vs-ionView-snippets,Ionic 3 ionView Snippets,Daniel Ehrhardt,195460,5.0,1,2018-03-31,101.1,danielehrhardt/ionic3-vs-ionView-snippets,2018-03-31,101.1,False,MIT,0,1
rafaelmaiolla.remote-vscode,Remote VSCode,Rafael Maiolla,195217,4.25,20,2017-07-12,109.7,rafaelmaiolla/remote-vscode,2022-12-07,44.8,False,MIT,36,263
